eps = 0.010000, del = 0.010000, phi = 0.100000, lws_cm = 0, avg_diff = 0.000000, median_diff = 0.000000, avg_l1_diff = 0.000000
eps = 0.010000, del = 0.010000, phi = 0.050000, lws_cm = 0, avg_diff = 0.066376, median_diff = 0.066376, avg_l1_diff = 0.004073
eps = 0.010000, del = 0.010000, phi = 0.010000, lws_cm = 0, avg_diff = 0.235211, median_diff = 0.198968, avg_l1_diff = 0.004635
eps = 0.010000, del = 0.010000, phi = 0.005000, lws_cm = 0, avg_diff = 0.495027, median_diff = 0.535132, avg_l1_diff = 0.004725
eps = 0.010000, del = 0.010000, phi = 0.001000, lws_cm = 0, avg_diff = 2.225913, median_diff = 2.141967, avg_l1_diff = 0.004768
eps = 0.001000, del = 0.010000, phi = 0.100000, lws_cm = 7007, avg_diff = 0.000000, median_diff = 0.000000, avg_l1_diff = 0.000000
eps = 0.001000, del = 0.010000, phi = 0.050000, lws_cm = 7007, avg_diff = 0.003754, median_diff = 0.003754, avg_l1_diff = 0.000230
eps = 0.001000, del = 0.010000, phi = 0.010000, lws_cm = 7007, avg_diff = 0.012025, median_diff = 0.012261, avg_l1_diff = 0.000256
eps = 0.001000, del = 0.010000, phi = 0.005000, lws_cm = 7007, avg_diff = 0.027037, median_diff = 0.028113, avg_l1_diff = 0.000263
eps = 0.001000, del = 0.010000, phi = 0.001000, lws_cm = 7007, avg_diff = 0.111929, median_diff = 0.092833, avg_l1_diff = 0.000245
eps = 0.000100, del = 0.010000, phi = 0.100000, lws_cm = 70007, avg_diff = 0.000000, median_diff = 0.000000, avg_l1_diff = 0.000000
eps = 0.000100, del = 0.010000, phi = 0.050000, lws_cm = 70007, avg_diff = 0.000014, median_diff = 0.000014, avg_l1_diff = 0.000001
eps = 0.000100, del = 0.010000, phi = 0.010000, lws_cm = 70007, avg_diff = 0.000123, median_diff = 0.000148, avg_l1_diff = 0.000003
eps = 0.000100, del = 0.010000, phi = 0.005000, lws_cm = 70007, avg_diff = 0.000578, median_diff = 0.000416, avg_l1_diff = 0.000005
eps = 0.000100, del = 0.010000, phi = 0.001000, lws_cm = 70007, avg_diff = 0.002279, median_diff = 0.001539, avg_l1_diff = 0.000005
eps = 0.000010, del = 0.010000, phi = 0.100000, lws_cm = 700056, avg_diff = 0.000000, median_diff = 0.000000, avg_l1_diff = 0.000000
eps = 0.000010, del = 0.010000, phi = 0.050000, lws_cm = 700056, avg_diff = 0.000000, median_diff = 0.000000, avg_l1_diff = 0.000000
eps = 0.000010, del = 0.010000, phi = 0.010000, lws_cm = 700056, avg_diff = 0.000000, median_diff = 0.000000, avg_l1_diff = 0.000000
eps = 0.000010, del = 0.010000, phi = 0.005000, lws_cm = 700056, avg_diff = 0.000002, median_diff = 0.000000, avg_l1_diff = 0.000000
eps = 0.000010, del = 0.010000, phi = 0.001000, lws_cm = 700056, avg_diff = 0.000004, median_diff = 0.000000, avg_l1_diff = 0.000000
eps = 0.010000, del = 0.001000, phi = 0.100000, lws_cm = 0, avg_diff = 0.000000, median_diff = 0.000000, avg_l1_diff = 0.000000
eps = 0.010000, del = 0.001000, phi = 0.050000, lws_cm = 0, avg_diff = 0.080588, median_diff = 0.080588, avg_l1_diff = 0.004945
eps = 0.010000, del = 0.001000, phi = 0.010000, lws_cm = 0, avg_diff = 0.246157, median_diff = 0.182511, avg_l1_diff = 0.004734
eps = 0.010000, del = 0.001000, phi = 0.005000, lws_cm = 0, avg_diff = 0.509958, median_diff = 0.474740, avg_l1_diff = 0.004745
eps = 0.010000, del = 0.001000, phi = 0.001000, lws_cm = 0, avg_diff = 2.071414, median_diff = 1.886922, avg_l1_diff = 0.004463
eps = 0.001000, del = 0.001000, phi = 0.100000, lws_cm = 10010, avg_diff = 0.000000, median_diff = 0.000000, avg_l1_diff = 0.000000
eps = 0.001000, del = 0.001000, phi = 0.050000, lws_cm = 10010, avg_diff = 0.002717, median_diff = 0.002717, avg_l1_diff = 0.000167
eps = 0.001000, del = 0.001000, phi = 0.010000, lws_cm = 10010, avg_diff = 0.010683, median_diff = 0.011011, avg_l1_diff = 0.000219
eps = 0.001000, del = 0.001000, phi = 0.005000, lws_cm = 10010, avg_diff = 0.020614, median_diff = 0.019415, avg_l1_diff = 0.000204
eps = 0.001000, del = 0.001000, phi = 0.001000, lws_cm = 10010, avg_diff = 0.098250, median_diff = 0.089530, avg_l1_diff = 0.000213
eps = 0.000100, del = 0.001000, phi = 0.100000, lws_cm = 100010, avg_diff = 0.000000, median_diff = 0.000000, avg_l1_diff = 0.000000
eps = 0.000100, del = 0.001000, phi = 0.050000, lws_cm = 100010, avg_diff = 0.000085, median_diff = 0.000085, avg_l1_diff = 0.000005
eps = 0.000100, del = 0.001000, phi = 0.010000, lws_cm = 100010, avg_diff = 0.000194, median_diff = 0.000166, avg_l1_diff = 0.000004
eps = 0.000100, del = 0.001000, phi = 0.005000, lws_cm = 100010, avg_diff = 0.000357, median_diff = 0.000199, avg_l1_diff = 0.000004
eps = 0.000100, del = 0.001000, phi = 0.001000, lws_cm = 100010, avg_diff = 0.001532, median_diff = 0.001113, avg_l1_diff = 0.000003
eps = 0.000010, del = 0.001000, phi = 0.100000, lws_cm = 1000077, avg_diff = 0.000000, median_diff = 0.000000, avg_l1_diff = 0.000000
eps = 0.000010, del = 0.001000, phi = 0.050000, lws_cm = 1000077, avg_diff = 0.000000, median_diff = 0.000000, avg_l1_diff = 0.000000
eps = 0.000010, del = 0.001000, phi = 0.010000, lws_cm = 1000077, avg_diff = 0.000001, median_diff = 0.000000, avg_l1_diff = 0.000000
eps = 0.000010, del = 0.001000, phi = 0.005000, lws_cm = 1000077, avg_diff = 0.000000, median_diff = 0.000000, avg_l1_diff = 0.000000
eps = 0.000010, del = 0.001000, phi = 0.001000, lws_cm = 1000077, avg_diff = 0.000003, median_diff = 0.000000, avg_l1_diff = 0.000000
eps = 0.010000, del = 0.000100, phi = 0.100000, lws_cm = 0, avg_diff = 0.000000, median_diff = 0.000000, avg_l1_diff = 0.000000
eps = 0.010000, del = 0.000100, phi = 0.050000, lws_cm = 0, avg_diff = 0.070136, median_diff = 0.070136, avg_l1_diff = 0.004304
eps = 0.010000, del = 0.000100, phi = 0.010000, lws_cm = 0, avg_diff = 0.220550, median_diff = 0.207030, avg_l1_diff = 0.004449
eps = 0.010000, del = 0.000100, phi = 0.005000, lws_cm = 0, avg_diff = 0.465686, median_diff = 0.446505, avg_l1_diff = 0.004428
eps = 0.010000, del = 0.000100, phi = 0.001000, lws_cm = 0, avg_diff = 2.033745, median_diff = 2.034545, avg_l1_diff = 0.004388
